Model,Family,Imbalance Strategy,Feature Count,CV Accuracy Mean,CV Accuracy Std,CV Balanced Acc Mean,CV Macro F1 Mean,CV Weighted F1 Mean,Holdout Accuracy,Holdout Balanced Acc,Holdout Macro F1,Holdout Weighted F1,Selection Score
Voting SVM+LDA+ET,ensemble,none,80,0.8024489795918367,0.04615891641219699,0.5896231884057971,0.5979135229594765,0.7879961437280857,0.76,0.5585507246376811,0.604047619047619,0.7435952380952381,0.922031684183732
SVM RBF tuned gamma=0.01,svm,none,80,0.7743673469387756,0.04721896850936826,0.572,0.5875505078211877,0.75941420547758,0.72,0.4844927536231884,0.4859656218402426,0.7022790697674418,0.8918774485030132
SVM RBF C=10,svm,none,80,0.770204081632653,0.026685263541807322,0.563072463768116,0.5783263496154589,0.7567796474213535,0.7,0.47449275362318843,0.4770618034447821,0.6835278622087132,0.8858693515557448
LDA shrinkage,linear,none,80,0.7660408163265306,0.05347617965898882,0.6207826086956522,0.6070596082567382,0.758764799212851,0.72,0.631159420289855,0.6840165631469979,0.7203809523809523,0.8874527379778783
SVM RBF C=10 balanced,svm_weighted,none,80,0.7660408163265305,0.06552178675658268,0.5623768115942029,0.5630480906930462,0.7586767090176588,0.74,0.5857971014492753,0.6058069062720225,0.7362649753347428,0.8786504344651398
ExtraTrees balanced,tree_weighted,none,80,0.7539591836734694,0.056003450836735545,0.46759420289855075,0.5018903857152249,0.7284129552096713,0.68,0.31913043478260866,0.29577598481252965,0.636203132415757,0.8543372608165144
Voting SVM+LDA+ET,ensemble,hybrid_50,80,0.7499591836734695,0.05626059435609548,0.6143478260869565,0.6037137548441895,0.7478048738208454,0.74,0.732463768115942,0.6957142857142857,0.7604761904761904,0.8707019346423074
Random Forest balanced,tree_weighted,none,80,0.7456326530612245,0.05334767265238543,0.4762318840579711,0.5112211683405203,0.7254679137519673,0.7,0.32782608695652177,0.3011111111111111,0.6475555555555556,0.8478768867293286
HistGradientBoosting,boosting,none,80,0.7419591836734692,0.04435546092406122,0.47733333333333333,0.508008049716269,0.7274108526017533,0.76,0.46855072463768116,0.45357142857142857,0.7279761904761903,0.8435607936167231
Voting SVM+LDA+ET,ensemble,undersample_mild,80,0.7378775510204083,0.045753190442326654,0.5972753623188405,0.5927391107154325,0.7379486725135884,0.7,0.622463768115942,0.6255555555555555,0.7071111111111111,0.8564253731634948
Stacking SVM+LDA+ET,ensemble,hybrid_50,80,0.7378775510204082,0.05092294364122993,0.5607536231884058,0.5708979190677876,0.7282479797827479,0.72,0.6684057971014493,0.6466666666666667,0.7193333333333333,0.8520571348339657
HistGradientBoosting,boosting,oversample_equal,80,0.7377142857142857,0.03501232007833537,0.5332173913043479,0.5548446871841116,0.7334853755845877,0.7,0.4398550724637681,0.4174772036474164,0.6866261398176292,0.848683223151108
Stacking SVM+LDA+ET,ensemble,oversample_equal,80,0.7376326530612245,0.03085606304125114,0.5571014492753623,0.5797380162169009,0.7230243948521962,0.68,0.46449275362318837,0.520871327254306,0.675146909827761,0.8535802563046047
SVM RBF C=10,svm,oversample_equal,80,0.7338775510204082,0.014621135136155516,0.5744057971014492,0.5974415826671466,0.7295876155999679,0.68,0.5557971014492754,0.5854718981972428,0.6826829268292682,0.8533658675538376
SVM RBF C=10 balanced,svm_weighted,oversample_equal,80,0.7338775510204082,0.014621135136155516,0.5744057971014492,0.5974415826671466,0.7295876155999679,0.68,0.5557971014492754,0.5854718981972428,0.6826829268292682,0.8533658675538376
SVM RBF tuned gamma=0.01,svm,oversample_equal,80,0.7338775510204082,0.019503200860758137,0.5746666666666667,0.596014024704129,0.7314149226188114,0.7,0.5644927536231884,0.5883022774327122,0.7080952380952381,0.853080355961234
ExtraTrees balanced,tree_weighted,oversample_equal,80,0.733469387755102,0.043681479334129636,0.4444347826086957,0.47490907627257506,0.7078616522046597,0.7,0.32391304347826083,0.29971988795518206,0.6464985994397758,0.8284512030096169
ExtraTrees balanced,tree_weighted,undersample_mild,80,0.7299591836734693,0.04593938747903793,0.5404927536231884,0.5412036657621553,0.7182859229712125,0.6,0.2817391304347826,0.2693629929221436,0.5777957532861477,0.8381999168259004
Voting SVM+LDA+ET,ensemble,oversample_equal,80,0.7296326530612245,0.03199083583897065,0.5842608695652174,0.5799687920350577,0.7263646497411844,0.66,0.5444927536231884,0.568984962406015,0.6676127819548873,0.845626411468236
Random Forest balanced,tree_weighted,oversample_equal,80,0.7295510204081632,0.05008321272227607,0.5088985507246375,0.5292174024790093,0.723023417697586,0.66,0.3991304347826087,0.35757575757575755,0.6387878787878788,0.835394500903965
Random Forest balanced,tree_weighted,undersample_mild,80,0.725795918367347,0.044901224371066153,0.5217971014492753,0.5350301110130383,0.722444566653434,0.62,0.2917391304347826,0.2749134092033647,0.5888965858485898,0.8328019405699547
ExtraTrees balanced,tree_weighted,hybrid_50,80,0.7255510204081632,0.06890956474457037,0.521536231884058,0.5315767868356257,0.7069970180384954,0.62,0.29043478260869565,0.272463768115942,0.5849275362318841,0.8318663777752884
KNN k=5 distance,neighbors,none,80,0.7177142857142857,0.012955181770005302,0.4436231884057971,0.45981919446371267,0.6866986682568078,0.64,0.2952173913043478,0.27901960784313723,0.6027450980392157,0.8096781246070283
SVM RBF tuned gamma=0.01,svm,hybrid_50,80,0.7176326530612245,0.04957219733736487,0.6060579710144927,0.6091363258011065,0.7188231566574301,0.72,0.6657971014492754,0.6482187730968219,0.7240739098300074,0.8394599182214458
GradientBoosting,boosting,none,80,0.717469387755102,0.05369443215996664,0.4378260869565217,0.44155148515912035,0.7085589192070028,0.66,0.3644927536231884,0.38421573478476,0.641835724888669,0.8057796847869261
SVM RBF C=10,svm,hybrid_50,80,0.7135510204081632,0.05051102452436127,0.6043188405797101,0.6120064321091149,0.71456540065029,0.7,0.6557971014492754,0.638888888888889,0.7044444444444444,0.8359523068299862
SVM RBF C=10 balanced,svm_weighted,hybrid_50,80,0.7135510204081632,0.05051102452436127,0.6043188405797101,0.6120064321091149,0.71456540065029,0.7,0.6557971014492754,0.638888888888889,0.7044444444444444,0.8359523068299862
Random Forest balanced,tree_weighted,hybrid_50,80,0.7012244897959184,0.08016351469265832,0.5451014492753623,0.5439514891712655,0.7026384983835116,0.54,0.3456521739130435,0.30992196209587514,0.5336900780379041,0.8100147876301715
SVM RBF C=10,svm,undersample_mild,80,0.6978775510204082,0.043783116222342024,0.5903478260869566,0.5384656211539817,0.6923208893377317,0.64,0.5371014492753623,0.5438095238095237,0.6487619047619048,0.8055706752512045
LDA shrinkage,linear,undersample_mild,80,0.6975510204081633,0.04749308899942396,0.5960579710144928,0.5819710199073931,0.7048826168798294,0.62,0.585072463768116,0.5677777777777777,0.6222222222222222,0.8139452243896419
SVM RBF tuned gamma=0.01,svm,undersample_mild,80,0.693795918367347,0.039026384991836346,0.6004637681159419,0.5468489310916056,0.6884265679745853,0.68,0.5557971014492754,0.5691304347826087,0.684,0.8031657045856682
Logistic Regression balanced,linear_weighted,none,80,0.6892244897959184,0.08114532086761919,0.6031304347826086,0.5541212335443513,0.7042428184281843,0.64,0.7443478260869565,0.5913341044919992,0.6591343743975322,0.8000487365047887
HistGradientBoosting,boosting,undersample_mild,80,0.6850612244897959,0.061728861252552364,0.5247246376811594,0.5364569280848351,0.6905530852630994,0.62,0.40376811594202894,0.3729490022172949,0.6168070953436807,0.792352610106763
Logistic Regression balanced,linear_weighted,hybrid_50,80,0.6815510204081632,0.063411496664284,0.6289855072463768,0.5553237205823016,0.6891163098037427,0.62,0.5863768115942029,0.5146738798215049,0.6478727306070052,0.7926157645246235
HistGradientBoosting,boosting,hybrid_50,80,0.6772244897959184,0.03330112007251603,0.5153623188405797,0.5173595257952549,0.6756487069366617,0.66,0.513768115942029,0.5125541125541125,0.6593506493506492,0.7806963949549695
