Model,Family,Imbalance Strategy,Feature Count,CV Accuracy Mean,CV Accuracy Std,CV Balanced Acc Mean,CV Macro F1 Mean,CV Weighted F1 Mean,Holdout Accuracy,Holdout Balanced Acc,Holdout Macro F1,Holdout Weighted F1,Selection Score
CatBoost compact,catboost,balanced_weight,80,0.7620408163265306,0.05875396430482535,0.6272753623188405,0.6158299259359705,0.7579087109604219,0.64,0.3943478260869565,0.3513157894736842,0.6205263157894736,0.8852068015137248
XGBoost conservative,xgboost,none,80,0.7537142857142857,0.04293023892794753,0.47840579710144926,0.5068675841809123,0.7305089149136361,0.7,0.32782608695652177,0.3043026004728132,0.6539385342789598,0.8550878025504681
LightGBM shallow,lightgbm,balanced_weight,80,0.745795918367347,0.0387797205018175,0.5274492753623189,0.5472932453005105,0.7391626344738108,0.68,0.4337681159420289,0.4082539682539682,0.665079365079365,0.8552545674274492
CatBoost compact,catboost,none,80,0.7457142857142857,0.038967088495796484,0.4278550724637681,0.4386685809105403,0.7110904468755251,0.7,0.32782608695652177,0.3011111111111111,0.6475555555555556,0.8334480018963937
LightGBM shallow,lightgbm,none,80,0.7456326530612245,0.04523244606945411,0.4867826086956522,0.5189546030560164,0.7259068939207726,0.7,0.3265217391304348,0.3043026004728132,0.654562647754137,0.8494235736724278
XGBoost deeper,xgboost,none,80,0.7456326530612245,0.054946962424840054,0.4453333333333333,0.4735302959678753,0.7198752276524243,0.72,0.3365217391304348,0.30971322849213695,0.6663829787234041,0.8403387122547996
LightGBM compact,lightgbm,balanced_weight,80,0.7417959183673469,0.04953602301366146,0.5331594202898551,0.5345436330804157,0.7336862245403253,0.68,0.4350724637681159,0.40747720364741635,0.6626686930091185,0.8487046449834301
LightGBM compact,lightgbm,none,80,0.7417959183673469,0.03308550380855223,0.4621159420289855,0.4904135305595993,0.7169281593912012,0.68,0.3178260869565217,0.29565217391304344,0.6356521739130434,0.8398786244792668
XGBoost conservative,xgboost,balanced_weight,80,0.7377142857142857,0.050583006696228096,0.5308985507246377,0.5356707845000528,0.7310098866787766,0.64,0.3004347826086956,0.2875379939209727,0.6179331306990882,0.8448484426142963
CatBoost shallow,catboost,none,80,0.7376326530612245,0.04738450304367853,0.4063768115942029,0.40961508704061894,0.7002345008925557,0.68,0.31913043478260866,0.29239332096474957,0.6284230055658626,0.8195556704693483
CatBoost regularized,catboost,balanced_weight,80,0.7374693877551021,0.06681242430603242,0.6232463768115942,0.6030950276779075,0.743358475970523,0.64,0.4856521739130435,0.4272222222222222,0.6271111111111112,0.8580883932906835
XGBoost shallow,xgboost,none,80,0.7374693877551021,0.0682897030929367,0.47144927536231884,0.5066136371785319,0.7163086592419774,0.7,0.32782608695652177,0.3043026004728132,0.6539385342789598,0.8387921151908084
XGBoost deeper,xgboost,balanced_weight,80,0.7338775510204082,0.03898931388536023,0.5291594202898551,0.5357907694701669,0.7267244598804659,0.66,0.31043478260869567,0.29634146341463413,0.6365853658536585,0.8410357049144416
