Feature Set,Feature Count,Model,CV Accuracy Mean,CV Accuracy Std,CV Balanced Acc Mean,CV Macro F1 Mean,CV Weighted F1 Mean,Holdout Accuracy,Holdout Balanced Acc,Holdout Macro F1,Holdout Weighted F1
engineered_pipeline,80,SVM RBF C=10,0.770204081632653,0.026685263541807322,0.563072463768116,0.5783263496154589,0.7567796474213535,0.7,0.47449275362318843,0.4770618034447821,0.6835278622087132
engineered_pipeline,80,LDA shrinkage,0.7660408163265306,0.05347617965898882,0.6207826086956522,0.6070596082567382,0.758764799212851,0.72,0.631159420289855,0.6840165631469979,0.7203809523809523
engineered_pipeline,80,SVM RBF C=10 balanced,0.7660408163265305,0.06552178675658268,0.5623768115942029,0.5630480906930462,0.7586767090176588,0.74,0.5857971014492753,0.6058069062720225,0.7362649753347428
engineered_pipeline,80,ExtraTrees balanced,0.7538775510204081,0.06184878982646909,0.4678550724637681,0.5019204242895484,0.7285207388853997,0.68,0.31913043478260866,0.29577598481252965,0.636203132415757
engineered_pipeline,80,SVM RBF C=10 SelectKBest,0.7421224489795918,0.04718579191628747,0.5215652173913043,0.5494462265870366,0.7339686593367407,0.62,0.29304347826086957,0.273768043802887,0.5855848680935789
engineered_pipeline,80,Random Forest notebook,0.7215510204081633,0.04239274139655714,0.35330434782608694,0.334823835584944,0.6731600394578836,0.66,0.31043478260869567,0.2835348837209303,0.6089302325581395
engineered_pipeline,80,KNN k=5 distance,0.7177142857142857,0.012955181770005302,0.4436231884057971,0.45981919446371267,0.6866986682568078,0.64,0.2952173913043478,0.27901960784313723,0.6027450980392157
engineered_pipeline,80,LDA,0.7095510204081632,0.052441975233083624,0.5763478260869566,0.5571262263159517,0.7035242640444309,0.68,0.613768115942029,0.5730081300813008,0.6740162601626016
engineered_pipeline,80,Gradient Boosting,0.7053877551020408,0.04836443631989773,0.4210144927536231,0.4287258070063212,0.6930252690389024,0.66,0.3644927536231884,0.38421573478476,0.641835724888669
engineered_pipeline,80,Logistic Regression balanced,0.6892244897959184,0.08114532086761919,0.6031304347826086,0.5541212335443513,0.7042428184281843,0.64,0.7443478260869565,0.5913341044919992,0.6591343743975322
