Feature Set,Feature Count,Model,CV Accuracy Mean,CV Accuracy Std,CV Balanced Acc Mean,CV Macro F1 Mean,CV Weighted F1 Mean,Holdout Accuracy,Holdout Balanced Acc,Holdout Macro F1,Holdout Weighted F1
engineered_pipeline,80,SVM RBF C=10,0.770204081632653,0.026685263541807322,0.563072463768116,0.5783263496154589,0.7567796474213535,0.7,0.47449275362318843,0.4770618034447821,0.6835278622087132
engineered_pipeline,80,LDA shrinkage,0.7660408163265306,0.05347617965898882,0.6207826086956522,0.6070596082567382,0.758764799212851,0.72,0.631159420289855,0.6840165631469979,0.7203809523809523
engineered_pipeline,80,SVM RBF C=10 balanced,0.7660408163265305,0.06552178675658268,0.5623768115942029,0.5630480906930462,0.7586767090176588,0.74,0.5857971014492753,0.6058069062720225,0.7362649753347428
base_pipeline,39,SVM RBF C=10 SelectKBest,0.7623673469387755,0.05320194840059266,0.5606376811594203,0.5784932608762395,0.7465522408502869,0.64,0.35840579710144926,0.3749134092033647,0.6188965858485899
base_pipeline,39,ExtraTrees balanced,0.7619591836734695,0.057812058163828214,0.5194492753623188,0.5401834756540493,0.7368618861031945,0.68,0.31913043478260866,0.29239332096474957,0.6284230055658626
engineered_pipeline,80,ExtraTrees balanced,0.7538775510204081,0.06184878982646909,0.4678550724637681,0.5019204242895484,0.7285207388853997,0.68,0.31913043478260866,0.29577598481252965,0.636203132415757
base_pipeline,39,SVM RBF C=10,0.7503673469387756,0.0500326257570991,0.5541159420289855,0.5597530869131871,0.7328779690707558,0.68,0.3771014492753623,0.3895348837209302,0.6509302325581396
engineered_pipeline,80,SVM RBF C=10 SelectKBest,0.7421224489795918,0.04718579191628747,0.5215652173913043,0.5494462265870366,0.7339686593367407,0.62,0.29304347826086957,0.273768043802887,0.5855848680935789
base_pipeline,39,SVM RBF C=10 balanced,0.7420408163265306,0.06460387739597308,0.6048985507246378,0.5858773337800359,0.7365608307759004,0.66,0.4597101449275362,0.49652482269503545,0.6560496453900708
base_pipeline,39,LDA,0.7419591836734692,0.03907672479441004,0.5668985507246377,0.5626373152358319,0.7334755324518485,0.7,0.7730434782608696,0.7691304347826087,0.6972608695652174
base_pipeline,39,KNN k=5 distance,0.7381224489795919,0.04458114568518752,0.47214492753623183,0.47348273484913744,0.7058513261074677,0.6,0.3678260869565217,0.356,0.5728
base_pipeline,39,LDA shrinkage,0.7336326530612245,0.051091607463321934,0.5158260869565218,0.5237089273527724,0.7179267469180436,0.72,0.542463768115942,0.5632323232323232,0.7034343434343434
engineered_pipeline,80,Random Forest notebook,0.7215510204081633,0.04239274139655714,0.35330434782608694,0.334823835584944,0.6731600394578836,0.66,0.31043478260869567,0.2835348837209303,0.6089302325581395
engineered_pipeline,80,KNN k=5 distance,0.7177142857142857,0.012955181770005302,0.4436231884057971,0.45981919446371267,0.6866986682568078,0.64,0.2952173913043478,0.27901960784313723,0.6027450980392157
engineered_pipeline,80,LDA,0.7095510204081632,0.052441975233083624,0.5763478260869566,0.5571262263159517,0.7035242640444309,0.68,0.613768115942029,0.5730081300813008,0.6740162601626016
engineered_pipeline,80,Gradient Boosting,0.7053877551020408,0.04836443631989773,0.4210144927536231,0.4287258070063212,0.6930252690389024,0.66,0.3644927536231884,0.38421573478476,0.641835724888669
base_pipeline,39,Random Forest notebook,0.7053061224489796,0.059384038035017794,0.34556521739130436,0.32792450573442666,0.6586175436929497,0.7,0.32913043478260867,0.3008372093023256,0.6463255813953488
engineered_pipeline,80,Logistic Regression balanced,0.6892244897959184,0.08114532086761919,0.6031304347826086,0.5541212335443513,0.7042428184281843,0.64,0.7443478260869565,0.5913341044919992,0.6591343743975322
base_pipeline,39,Gradient Boosting,0.6889795918367347,0.07074918890073903,0.4127536231884058,0.4152268413645725,0.6798473663326332,0.64,0.2965217391304348,0.277171333649739,0.5984242999525392
base_pipeline,39,Logistic Regression balanced,0.6366530612244897,0.07075549937198235,0.5805217391304348,0.5130408698418968,0.6567551728551125,0.68,0.6730434782608696,0.5641025641025641,0.703205128205128
